"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","log2err"
"GO:0034242","negative regulation of syncytium formation by plasma membrane fusion",45,0.774564960465634,2.9802598383081,1e-10,2.47714285714286e-08,1.77235695122861e-08,1094,"tags=82%, list=17%, signal=69%","RPL7/RPL4/RPL31/RPL36A/RPL6/RPL5/RPLP2/RPL11/RPL21/RPL9/RPL23/RPL32/RPL17/RPL34/RPL10A/RPL24/RPL38/RPL18/RPL35A/RPL39/RPL12/RPL30/RPL10/RPL7A/RPL37/RPL15/RPL35/RPL27/RPL18A/RPL41/RPL19/RPL36/UBA52/RPL29/RPL13/RPL13A/RPL23A",NA
"GO:1901740","negative regulation of myoblast fusion",45,0.774564960465634,2.9802598383081,1e-10,2.47714285714286e-08,1.77235695122861e-08,1094,"tags=82%, list=17%, signal=69%","RPL7/RPL4/RPL31/RPL36A/RPL6/RPL5/RPLP2/RPL11/RPL21/RPL9/RPL23/RPL32/RPL17/RPL34/RPL10A/RPL24/RPL38/RPL18/RPL35A/RPL39/RPL12/RPL30/RPL10/RPL7A/RPL37/RPL15/RPL35/RPL27/RPL18A/RPL41/RPL19/RPL36/UBA52/RPL29/RPL13/RPL13A/RPL23A",NA
"GO:1901739","regulation of myoblast fusion",51,0.71844890705653,2.88711308240891,1e-10,2.47714285714286e-08,1.77235695122861e-08,1094,"tags=73%, list=17%, signal=61%","RPL7/RPL4/RPL31/RPL36A/RPL6/RPL5/RPLP2/RPL11/RPL21/RPL9/RPL23/RPL32/RPL17/RPL34/RPL10A/RPL24/RPL38/RPL18/RPL35A/RPL39/RPL12/RPL30/RPL10/RPL7A/RPL37/RPL15/RPL35/RPL27/RPL18A/RPL41/RPL19/RPL36/UBA52/RPL29/RPL13/RPL13A/RPL23A",NA
"GO:0007520","myoblast fusion",54,0.711952721592996,2.83653756805046,1e-10,2.47714285714286e-08,1.77235695122861e-08,783,"tags=63%, list=12%, signal=56%","RPL7/RPL4/RPL31/RPL36A/RPL6/RPL5/RPLP2/RPL11/RPL21/CD81/RPL9/RPL23/RPL32/RPL17/RPL34/RPL10A/RPL24/RPL38/RPL18/RPL35A/RPL39/RPL12/RPL30/RPL10/RPL7A/RPL37/RPL15/RPL35/RPL27/RPL18A/RPL41/RPL19/RPL36/UBA52",NA
"GO:0000768","syncytium formation by plasma membrane fusion",56,0.702437889995216,2.82481390454473,1e-10,2.47714285714286e-08,1.77235695122861e-08,783,"tags=61%, list=12%, signal=54%","RPL7/RPL4/RPL31/RPL36A/RPL6/RPL5/RPLP2/RPL11/RPL21/CD81/RPL9/RPL23/RPL32/RPL17/RPL34/RPL10A/RPL24/RPL38/RPL18/RPL35A/RPL39/RPL12/RPL30/RPL10/RPL7A/RPL37/RPL15/RPL35/RPL27/RPL18A/RPL41/RPL19/RPL36/UBA52",NA
"GO:0006949","syncytium formation",56,0.702437889995216,2.82481390454473,1e-10,2.47714285714286e-08,1.77235695122861e-08,783,"tags=61%, list=12%, signal=54%","RPL7/RPL4/RPL31/RPL36A/RPL6/RPL5/RPLP2/RPL11/RPL21/CD81/RPL9/RPL23/RPL32/RPL17/RPL34/RPL10A/RPL24/RPL38/RPL18/RPL35A/RPL39/RPL12/RPL30/RPL10/RPL7A/RPL37/RPL15/RPL35/RPL27/RPL18A/RPL41/RPL19/RPL36/UBA52",NA
"GO:0140253","cell-cell fusion",56,0.702437889995216,2.82481390454473,1e-10,2.47714285714286e-08,1.77235695122861e-08,783,"tags=61%, list=12%, signal=54%","RPL7/RPL4/RPL31/RPL36A/RPL6/RPL5/RPLP2/RPL11/RPL21/CD81/RPL9/RPL23/RPL32/RPL17/RPL34/RPL10A/RPL24/RPL38/RPL18/RPL35A/RPL39/RPL12/RPL30/RPL10/RPL7A/RPL37/RPL15/RPL35/RPL27/RPL18A/RPL41/RPL19/RPL36/UBA52",NA
"GO:0014902","myotube differentiation",65,0.673864253109772,2.8239831897209,1e-10,2.47714285714286e-08,1.77235695122861e-08,1094,"tags=66%, list=17%, signal=55%","RPL7/RPL4/RPL31/RPL36A/RPL6/RPL5/RPLP2/RPL11/RPL21/CD81/RPL9/RPL23/RPL32/RPL17/MAML1/RPL34/RPL10A/RPL24/RPL38/RPL18/RPL35A/RPL39/RPL12/RPL30/RPL10/RPL7A/RPL37/HDAC5/PPP3CB/RPL15/RPL35/RPL27/RPL18A/RPL41/NACA/RPL19/RPL36/UBA52/RPL29/RPL13/RPL13A/SKI/RPL23A",NA
"GO:0006941","striated muscle contraction",74,0.647189911298043,2.79164376064236,1e-10,2.47714285714286e-08,1.77235695122861e-08,783,"tags=55%, list=12%, signal=49%","RPL7/RPL4/RPL31/RPL36A/RPL6/RPL5/RPLP2/RPL11/RPL21/GNAS/C12orf57/RPL9/SRI/RPL23/BIN1/RPL32/AKAP9/GRK2/RPL17/RPL34/RPL10A/RPL24/EEF2/RPL38/RPL18/RPL35A/HSP90AA1/RPL39/RPL12/RPL30/RPL10/RPL7A/RPL37/RPL15/RPL35/RPL27/RPL18A/RPL41/RPL19/RPL36/UBA52",NA
"GO:0060142","regulation of syncytium formation by plasma membrane fusion",52,0.711363457445582,2.77502624246518,1e-10,2.47714285714286e-08,1.77235695122861e-08,1405,"tags=81%, list=22%, signal=64%","RPL7/RPL4/RPL31/RPL36A/RPL6/RPL5/RPLP2/RPL11/RPL21/RPL9/RPL23/RPL32/RPL17/RPL34/RPL10A/RPL24/RPL38/RPL18/RPL35A/RPL39/RPL12/RPL30/RPL10/RPL7A/RPL37/RPL15/RPL35/RPL27/RPL18A/RPL41/RPL19/RPL36/UBA52/RPL29/RPL13/RPL13A/RPL23A/RPL37A/RPL14/MAPK14/RPL8/TYROBP",NA
"GO:0006936","muscle contraction",103,0.564471778521918,2.63359763252485,1e-10,2.47714285714286e-08,1.77235695122861e-08,783,"tags=44%, list=12%, signal=39%","RPL7/RPL4/RPL31/RPL36A/RPL6/RPL5/RPLP2/RPL11/RPL21/GNAS/C12orf57/RPL9/SRI/RPL23/BIN1/RPL32/AKAP9/GRK2/RPL17/RPL34/RPL10A/RPL24/EEF2/RPL38/RPL18/RPL35A/HSP90AA1/RPL39/RPL12/RPL30/RPL10/RPL7A/RPL37/TMOD3/RPL15/RPL35/RPL27/APBB1/RPL18A/RPL41/PABPN1/MAP2K1/RPL19/RPL36/UBA52",NA
